% Monthly E and C indices based on ERSST v3b following
% Takahashi et al. (2011, doi:10.1029/2011GL047364)
% (no smoothing is applied)
%
% yy  mm      E         C
1947  02  -0.574479  0.22814
1947  03  -0.618075  0.225783
1947  04  -0.775524  0.161417
1947  05  -1.24235  0.129951
1947  06  -1.31716  0.466966
1947  07  -1.03393  0.0824854
1947  08  -1.17505  -0.330529
1947  09  -1.16134  -0.514787
1947  10  -0.346486  -1.24921
1947  11  -0.566307  -1.46756
1947  12  -0.916094  -0.0517751
1948  01  -0.617168  -0.391656
1948  02  -0.236613  -0.249672
1948  03  0.21045  -0.400701
1948  04  -0.411151  0.390219
1948  05  -0.542219  0.41755
1948  06  -0.880835  -0.568432
1948  07  -1.17341  -0.442788
1948  08  -0.597884  -1.03337
1948  09  -0.762731  -1.51205
1948  10  -0.840358  -1.9767
1948  11  -0.58751  -1.75413
